Model,Feature_Set,Configuration,Fold,Accuracy
DecisionTree,No Gender/Grade,max_depth=3,3,0.43010752688172044
DecisionTree,No Gender/Grade,max_depth=3,4,0.5483870967741935
DecisionTree,No Gender/Grade,max_depth=3,5,0.5698924731182796
DecisionTree,No Gender/Grade,max_depth=5,1,0.5638297872340425
DecisionTree,No Gender/Grade,max_depth=5,2,0.5053763440860215
DecisionTree,No Gender/Grade,max_depth=5,3,0.4731182795698925
DecisionTree,No Gender/Grade,max_depth=5,4,0.4946236559139785
DecisionTree,No Gender/Grade,max_depth=5,5,0.5698924731182796
DecisionTree,No Gender/Grade,max_depth=10,1,0.4787234042553192
DecisionTree,No Gender/Grade,max_depth=10,2,0.4946236559139785
DecisionTree,No Gender/Grade,max_depth=10,3,0.4731182795698925
DecisionTree,No Gender/Grade,max_depth=10,4,0.44086021505376344
DecisionTree,No Gender/Grade,max_depth=10,5,0.5913978494623656
NaiveBayes,No Gender/Grade,var_smoothing=1e-09,1,0.574468085106383
NaiveBayes,No Gender/Grade,var_smoothing=1e-09,2,0.5698924731182796
NaiveBayes,No Gender/Grade,var_smoothing=1e-09,3,0.4731182795698925
NaiveBayes,No Gender/Grade,var_smoothing=1e-09,4,0.5268817204301075
NaiveBayes,No Gender/Grade,var_smoothing=1e-09,5,0.5591397849462365
NaiveBayes,No Gender/Grade,var_smoothing=1e-08,1,0.574468085106383
NaiveBayes,No Gender/Grade,var_smoothing=1e-08,2,0.5698924731182796
NaiveBayes,No Gender/Grade,var_smoothing=1e-08,3,0.4731182795698925
NaiveBayes,No Gender/Grade,var_smoothing=1e-08,4,0.5268817204301075
NaiveBayes,No Gender/Grade,var_smoothing=1e-08,5,0.5591397849462365
NaiveBayes,No Gender/Grade,var_smoothing=1e-07,1,0.574468085106383
NaiveBayes,No Gender/Grade,var_smoothing=1e-07,2,0.5698924731182796
NaiveBayes,No Gender/Grade,var_smoothing=1e-07,3,0.4731182795698925
NaiveBayes,No Gender/Grade,var_smoothing=1e-07,4,0.5268817204301075
NaiveBayes,No Gender/Grade,var_smoothing=1e-07,5,0.5591397849462365
NaiveBayes,No Gender/Grade,var_smoothing=1e-06,1,0.574468085106383
NaiveBayes,No Gender/Grade,var_smoothing=1e-06,2,0.5698924731182796
NaiveBayes,No Gender/Grade,var_smoothing=1e-06,3,0.4731182795698925
NaiveBayes,No Gender/Grade,var_smoothing=1e-06,4,0.5268817204301075
NaiveBayes,No Gender/Grade,var_smoothing=1e-06,5,0.5591397849462365
KNN,No Gender/Grade,k=3,1,0.48936170212765956
KNN,No Gender/Grade,k=3,2,0.5053763440860215
KNN,No Gender/Grade,k=3,3,0.4731182795698925
KNN,No Gender/Grade,k=3,4,0.46236559139784944
KNN,No Gender/Grade,k=3,5,0.5483870967741935
KNN,No Gender/Grade,k=5,1,0.5
KNN,No Gender/Grade,k=5,2,0.4731182795698925
KNN,No Gender/Grade,k=5,3,0.45161290322580644
KNN,No Gender/Grade,k=5,4,0.5161290322580645
KNN,No Gender/Grade,k=5,5,0.5913978494623656
KNN,No Gender/Grade,k=7,1,0.5319148936170213
KNN,No Gender/Grade,k=7,2,0.5161290322580645
KNN,No Gender/Grade,k=7,3,0.43010752688172044
KNN,No Gender/Grade,k=7,4,0.4838709677419355
KNN,No Gender/Grade,k=7,5,0.5913978494623656
KNN,No Gender/Grade,k=9,1,0.5106382978723404
KNN,No Gender/Grade,k=9,2,0.4946236559139785
KNN,No Gender/Grade,k=9,3,0.43010752688172044
KNN,No Gender/Grade,k=9,4,0.4946236559139785
KNN,No Gender/Grade,k=9,5,0.6021505376344086
Voting,No Gender/Grade,hard_voting,1,0.5319148936170213
Voting,No Gender/Grade,hard_voting,2,0.5376344086021505
Voting,No Gender/Grade,hard_voting,3,0.4838709677419355
Voting,No Gender/Grade,hard_voting,4,0.4946236559139785
Voting,No Gender/Grade,hard_voting,5,0.6129032258064516
Bagging,No Gender/Grade,n_estimators=10,1,0.4787234042553192
Bagging,No Gender/Grade,n_estimators=10,2,0.5806451612903226
Bagging,No Gender/Grade,n_estimators=10,3,0.46236559139784944
Bagging,No Gender/Grade,n_estimators=10,4,0.4731182795698925
Bagging,No Gender/Grade,n_estimators=10,5,0.6021505376344086
Bagging,No Gender/Grade,n_estimators=50,1,0.5
Bagging,No Gender/Grade,n_estimators=50,2,0.5591397849462365
Bagging,No Gender/Grade,n_estimators=50,3,0.46236559139784944
Bagging,No Gender/Grade,n_estimators=50,4,0.5053763440860215
Bagging,No Gender/Grade,n_estimators=50,5,0.5913978494623656
Bagging,No Gender/Grade,n_estimators=100,1,0.5106382978723404
Bagging,No Gender/Grade,n_estimators=100,2,0.5376344086021505
Bagging,No Gender/Grade,n_estimators=100,3,0.4946236559139785
